# CB0 = 2.100000
# t /s, C /M, C /M, C /M
2980.170, 0.0004, 0.0002, 0.0003
2980.245, 0.0002, 0.0001, 0.0003
2980.320, 0.0001, -0.0002, 0.0005
2980.395, 0.0002, 0.0005, 0.0003
2980.470, 0.0004, 0.0002, 0.0005
2980.545, 0.0002, 0.0004, 0.0002
2980.620, 0.0002, 0.0002, 0.0002
2980.695, 0.0002, -0.0003, 0.0001
2980.770, 0.0002, 0.0001, 0.0003
2980.845, 0.0001, 0.0001, 0.0000
2980.920, 0.0001, 0.0001, 0.0003
2980.995, 0.0005, -0.0002, -0.0000
2981.070, 0.0001, 0.0001, 0.0004
2981.145, 0.0002, 0.0005, 0.0003
2981.220, 0.0003, 0.0001, 0.0003
2981.295, 0.0002, 0.0003, 0.0003
2981.370, 0.0006, 0.0001, 0.0002
2981.445, 0.0006, 0.0002, -0.0000
2981.520, 0.0004, 0.0004, -0.0000
2981.595, 0.0001, 0.0004, 0.0002
2981.670, 0.0001, 0.0005, 0.0002
2981.745, 0.0007, 0.0006, 0.0006
2981.820, 0.0002, 0.0001, 0.0003
2981.895, 0.0005, 0.0002, 0.0003
2981.970, 0.0001, 0.0000, 0.0000
2982.045, 0.0006, 0.0002, 0.0003
2982.120, 0.0003, 0.0000, 0.0005
2982.195, 0.0002, 0.0001, 0.0002
2982.270, 0.0004, 0.0003, 0.0005
2982.345, 0.0001, 0.0001, 0.0001
2982.420, 0.0000, -0.0001, 0.0004
2982.495, 0.0003, -0.0001, 0.0005
2982.570, 0.0002, 0.0001, 0.0002
2982.645, 0.0006, 0.0000, 0.0007
2982.720, 0.0001, 0.0001, 0.0006
2982.795, 0.0004, 0.0000, 0.0002
2982.870, 0.0003, 0.0001, 0.0001
2982.945, 0.0004, 0.0000, 0.0000
2983.020, 0.0004, 0.0004, 0.0004
2983.095, 0.0001, 0.0006, -0.0000
2983.170, 0.0001, 0.0004, -0.0001
2983.245, 0.0002, 0.0000, 0.0001
2983.320, 0.0005, 0.0001, 0.0003
2983.395, 0.0001, 0.0001, 0.0005
2983.470, 0.0003, 0.0001, 0.0002
2983.545, -0.0002, 0.0005, -0.0000
2983.620, 0.0004, 0.0005, -0.0001
2983.695, 0.0001, 0.0001, 0.0003
2983.770, 0.0003, 0.0004, 0.0004
2983.845, 0.0002, 0.0006, 0.0004
2983.920, 0.0005, 0.0001, 0.0004
2983.995, 0.0002, 0.0005, 0.0001
2984.070, 0.0004, 0.0002, 0.0000
2984.145, -0.0001, -0.0002, 0.0001
2984.220, 0.0004, 0.0005, -0.0002
2984.295, 0.0003, 0.0003, 0.0006
2984.370, 0.0000, 0.0005, 0.0004
2984.445, 0.0006, 0.0003, 0.0002
2984.520, 0.0001, 0.0003, 0.0003
2984.595, 0.0001, 0.0004, 0.0002
2984.670, 0.0005, 0.0001, 0.0002
2984.745, 0.0005, 0.0003, 0.0003
2984.820, 0.0005, 0.0008, 0.0002
2984.895, 0.0004, 0.0002, 0.0002
2984.970, 0.0003, 0.0005, -0.0001
2985.045, 0.0005, 0.0005, 0.0001
2985.120, 0.0002, 0.0004, 0.0002
2985.195, 0.0002, 0.0002, 0.0002
2985.270, 0.0002, 0.0002, 0.0003
2985.345, 0.0003, 0.0002, 0.0003
2985.420, 0.0007, 0.0006, -0.0002
2985.495, 0.0001, 0.0004, 0.0004
2985.570, 0.0003, 0.0002, 0.0005
2985.645, 0.0000, 0.0003, -0.0001
2985.720, -0.0002, 0.0004, 0.0005
2985.795, 0.0004, -0.0001, 0.0005
2985.870, 0.0001, 0.0005, 0.0003
2985.945, -0.0000, 0.0002, 0.0001
2986.020, 0.0001, -0.0001, 0.0005
2986.095, 0.0001, 0.0002, 0.0000
2986.170, 0.0005, 0.0002, 0.0000
2986.245, 0.0004, 0.0006, 0.0003
2986.320, 0.0002, 0.0001, 0.0005
2986.395, -0.0000, 0.0002, 0.0005
2986.470, 0.0002, 0.0005, 0.0005
2986.545, 0.0000, 0.0000, 0.0000
2986.620, 0.0003, 0.0003, 0.0002
2986.695, 0.0000, 0.0003, 0.0001
2986.770, 0.0005, 0.0006, 0.0004
2986.845, 0.0008, 0.0003, 0.0006
2986.920, 0.0002, 0.0003, 0.0001
2986.995, 0.0002, 0.0003, 0.0002
2987.070, 0.0001, 0.0002, 0.0004
2987.145, 0.0005, 0.0005, -0.0003
2987.220, 0.0002, 0.0003, 0.0002
2987.295, 0.0002, 0.0004, 0.0004
2987.370, 0.0000, -0.0002, 0.0003
2987.445, 0.0005, -0.0001, 0.0001
2987.520, 0.0005, 0.0003, 0.0006
2987.595, 0.0004, 0.0003, 0.0002
2987.670, 0.0004, 0.0004, 0.0001
2987.745, 0.0004, -0.0002, 0.0004
2987.820, 0.0000, 0.0004, 0.0003
2987.895, 0.0001, 0.0002, 0.0003
2987.970, 0.0004, 0.0004, 0.0004
2988.045, 0.0002, 0.0001, 0.0004
2988.120, 0.0003, 0.0002, 0.0004
2988.195, 0.0007, 0.0003, 0.0004
2988.270, 0.0000, 0.0002, 0.0003
2988.345, 0.0002, 0.0004, 0.0004
2988.420, 0.0002, -0.0000, 0.0004
2988.495, 0.0003, 0.0001, 0.0002
2988.570, 0.0003, 0.0003, 0.0005
2988.645, 0.0002, 0.0003, 0.0004
2988.720, 0.0001, 0.0002, 0.0005
2988.795, 0.0003, 0.0003, 0.0002
2988.870, 0.0004, 0.0005, 0.0001
2988.945, 0.0003, -0.0001, 0.0005
2989.020, 0.0004, 0.0001, 0.0001
2989.095, 0.0005, 0.0005, 0.0005
2989.170, 0.0005, 0.0003, 0.0005
2989.245, 0.0003, 0.0002, 0.0001
2989.320, 0.0004, 0.0005, 0.0003
2989.395, 0.0001, 0.0000, 0.0003
2989.470, 0.0002, 0.0003, 0.0004
2989.545, 0.0004, 0.0001, 0.0001
2989.620, 0.0002, 0.0003, 0.0001
2989.695, -0.0000, 0.0005, 0.0005
2989.770, 0.0002, 0.0003, 0.0004
2989.845, -0.0001, 0.0004, 0.0003
2989.920, 0.0003, 0.0004, 0.0002
2989.995, 0.0005, 0.0003, 0.0003
2990.070, 0.0004, 0.0003, -0.0002
2990.145, 0.0004, 0.0007, 0.0006
2990.220, 0.0003, 0.0001, 0.0004
2990.295, 0.0002, 0.0003, 0.0005
2990.370, 0.0003, 0.0003, 0.0001
2990.445, 0.0006, -0.0000, 0.0009
2990.520, 0.0001, 0.0005, 0.0002
2990.595, 0.0002, 0.0004, -0.0000
2990.670, 0.0003, 0.0006, 0.0005
2990.745, 0.0005, 0.0001, 0.0004
2990.820, 0.0004, 0.0004, 0.0004
2990.895, 0.0001, 0.0002, 0.0001
2990.970, 0.0003, 0.0001, 0.0003
2991.045, 0.0006, 0.0000, 0.0000
2991.120, -0.0001, 0.0004, 0.0000
2991.195, 0.0005, 0.0001, 0.0001
2991.270, 0.0003, 0.0000, 0.0006
2991.345, 0.0001, 0.0001, 0.0002
2991.420, 0.0003, 0.0003, 0.0002
2991.495, 0.0002, 0.0003, 0.0002
2991.570, 0.0005, 0.0004, 0.0002
2991.645, 0.0000, 0.0002, 0.0005
2991.720, 0.0003, 0.0005, -0.0000
2991.795, 0.0003, 0.0004, 0.0005
2991.870, 0.0001, 0.0002, 0.0003
2991.945, -0.0001, 0.0000, 0.0004
2992.020, -0.0001, 0.0004, 0.0001
2992.095, 0.0004, 0.0001, 0.0000
2992.170, 0.0003, 0.0000, -0.0001
2992.245, 0.0001, 0.0001, 0.0004
2992.320, 0.0001, -0.0001, 0.0001
2992.395, 0.0004, -0.0002, 0.0005
2992.470, -0.0000, 0.0003, 0.0002
2992.545, 0.0007, 0.0000, 0.0005
2992.620, 0.0001, 0.0004, 0.0005
2992.695, 0.0002, -0.0001, 0.0001
2992.770, -0.0001, 0.0004, 0.0003
2992.845, 0.0002, 0.0005, 0.0000
2992.920, 0.0006, 0.0002, 0.0004
2992.995, 0.0005, 0.0003, 0.0001
2993.070, 0.0004, 0.0003, 0.0002
2993.145, 0.0000, 0.0003, 0.0004
2993.220, 0.0003, 0.0007, -0.0001
2993.295, 0.0001, 0.0002, 0.0005
2993.370, 0.0008, 0.0003, 0.0006
2993.445, 0.0006, 0.0002, 0.0000
2993.520, 0.0003, 0.0005, 0.0005
2993.595, -0.0000, 0.0005, 0.0001
2993.670, 0.0003, 0.0002, 0.0004
2993.745, -0.0000, 0.0003, 0.0002
2993.820, 0.0005, 0.0005, 0.0003
2993.895, 0.0004, 0.0002, 0.0006
2993.970, 0.0000, -0.0001, 0.0004
2994.045, 0.0001, 0.0003, 0.0003
2994.120, 0.0002, 0.0005, 0.0003
2994.195, 0.0002, 0.0004, 0.0001
2994.270, 0.0002, 0.0001, 0.0001
2994.345, 0.0001, 0.0001, 0.0005
2994.420, 0.0006, 0.0002, 0.0003
2994.495, 0.0001, 0.0004, 0.0002
2994.570, 0.0003, 0.0002, 0.0005
2994.645, 0.0006, 0.0005, -0.0000
2994.720, 0.0001, 0.0001, 0.0003
2994.795, 0.0003, 0.0000, 0.0000
2994.870, 0.0003, -0.0000, 0.0002
2994.945, 0.0001, -0.0000, 0.0002
2995.020, 0.0000, 0.0007, 0.0003
2995.095, -0.0002, 0.0005, 0.0004
2995.170, 0.0007, 0.0003, 0.0002
2995.245, 0.0001, 0.0004, 0.0006
2995.320, 0.0003, -0.0001, 0.0005
2995.395, 0.0005, 0.0005, 0.0002
2995.470, 0.0003, 0.0001, 0.0001
2995.545, 0.0008, 0.0001, -0.0001
2995.620, 0.0003, 0.0005, 0.0003
2995.695, 0.0004, 0.0003, 0.0004
2995.770, 0.0003, 0.0006, 0.0005
2995.845, -0.0001, 0.0002, 0.0002
2995.920, 0.0006, 0.0006, 0.0005
2995.995, -0.0001, 0.0002, 0.0005
2996.070, -0.0001, 0.0001, 0.0002
2996.145, 0.0002, 0.0002, 0.0002
2996.220, 0.0002, 0.0002, -0.0000
2996.295, 0.0002, 0.0003, 0.0002
2996.370, 0.0000, 0.0000, 0.0001
2996.445, 0.0005, 0.0004, 0.0003
2996.520, -0.0000, 0.0004, -0.0004
2996.595, 0.0004, 0.0003, 0.0003
2996.670, 0.0004, 0.0010, 0.0004
2996.745, 0.0005, 0.0001, 0.0001
2996.820, 0.0001, 0.0000, -0.0000
2996.895, 0.0002, 0.0004, 0.0006
2996.970, 0.0004, 0.0002, 0.0003
2997.045, 0.0002, 0.0003, 0.0002
2997.120, -0.0000, 0.0002, 0.0003
2997.195, 0.0001, 0.0001, 0.0003
2997.270, 0.0003, 0.0005, -0.0000
2997.345, 0.0008, 0.0004, 0.0002
2997.420, 0.0002, 0.0002, 0.0002
2997.495, 0.0002, -0.0000, 0.0004
2997.570, 0.0005, 0.0002, 0.0003
2997.645, 0.0001, 0.0005, 0.0005
2997.720, 0.0004, 0.0004, -0.0001
2997.795, -0.0001, 0.0003, 0.0004
2997.870, -0.0001, -0.0000, -0.0000
2997.945, 0.0002, 0.0006, 0.0002
2998.020, 0.0001, 0.0001, 0.0003
2998.095, 0.0005, 0.0001, 0.0003
2998.170, 0.0001, 0.0002, 0.0002
2998.245, 0.0002, 0.0001, 0.0004
2998.320, 0.0004, 0.0001, 0.0004
2998.395, 0.0006, 0.0003, 0.0001
2998.470, 0.0001, 0.0004, 0.0003
2998.545, 0.0002, 0.0005, 0.0003
2998.620, 0.0006, 0.0000, 0.0001
2998.695, 0.0006, 0.0001, 0.0006
2998.770, 0.0003, 0.0003, 0.0007
2998.845, 0.0003, 0.0005, 0.0006
2998.920, -0.0001, 0.0004, 0.0001
2998.995, 0.0005, 0.0003, 0.0003
2999.070, 0.0003, 0.0002, 0.0004
2999.145, 0.0002, 0.0003, 0.0002
2999.220, 0.0003, 0.0004, 0.0003
2999.295, 0.0001, 0.0001, 0.0006
2999.370, 0.0001, 0.0003, 0.0002
2999.445, 0.0004, 0.0005, 0.0006
2999.520, -0.0000, 0.0005, 0.0001
2999.595, 0.0005, 0.0005, -0.0002
2999.670, 0.0003, 0.0001, 0.0005
2999.745, 0.0004, 0.0003, 0.0002
2999.820, 0.0002, 0.0004, 0.0001
2999.895, 0.0001, 0.0002, 0.0005
2999.970, 0.0003, 0.0005, 0.0001
3000.045, 0.0001, 0.0003, -0.0000
3000.120, 0.0002, 0.0001, 0.0002
3000.195, 0.0000, -0.0001, 0.0004
3000.270, 0.0003, 0.0004, 0.0005
3000.345, -0.0000, 0.0000, 0.0002
3000.420, 0.0005, 0.0002, 0.0005
3000.495, 0.0002, 0.0002, 0.0002
3000.570, 0.0005, 0.0003, 0.0002
3000.645, 0.0002, 0.0002, 0.0004
3000.720, 0.0002, 0.0005, 0.0004
3000.795, 0.0004, 0.0001, -0.0002
3000.870, 0.0001, 0.0003, 0.0001
3000.945, -0.0000, 0.0003, 0.0000
3001.020, 0.0004, -0.0004, 0.0005
3001.095, 0.0003, 0.0003, 0.0004
3001.170, 0.0002, 0.0004, 0.0004
3001.245, 0.0003, 0.0006, 0.0001
3001.320, 0.0003, 0.0001, 0.0002
3001.395, 0.0005, 0.0003, 0.0005
3001.470, 0.0001, 0.0001, -0.0001
3001.545, 0.0002, 0.0004, 0.0001
3001.620, -0.0000, 0.0003, 0.0000
3001.695, 0.0001, 0.0002, 0.0002
3001.770, 0.0001, 0.0001, 0.0006
3001.845, 0.0003, 0.0002, 0.0004
3001.920, 0.0002, 0.0002, 0.0000
3001.995, -0.0001, 0.0002, 0.0002
3002.070, -0.0001, -0.0001, 0.0004
3002.145, 0.0005, 0.0003, 0.0001
3002.220, 0.0004, 0.0003, 0.0004
3002.295, 0.0001, 0.0002, 0.0001
3002.370, 0.0003, 0.0000, 0.0005
3002.445, 0.0001, 0.0005, 0.0003
3002.520, 0.0004, 0.0002, 0.0007
3002.595, 0.0004, 0.0002, -0.0000
3002.670, 0.0006, 0.0004, 0.0005
3002.745, -0.0003, 0.0005, 0.0003
3002.820, 0.0004, 0.0004, -0.0001
3002.895, 0.0004, 0.0002, 0.0001
3002.970, 0.0003, 0.0003, 0.0003
3003.045, 0.0002, 0.0007, 0.0002
3003.120, 0.0002, 0.0003, 0.0003
3003.195, 0.0002, 0.0003, 0.0001
3003.270, 0.0004, 0.0001, 0.0001
3003.345, 0.0006, 0.0006, 0.0001
3003.420, 0.0002, 0.0002, -0.0001
3003.495, 0.0002, 0.0003, 0.0001
3003.570, -0.0001, 0.0002, 0.0002
3003.645, 0.0003, 0.0006, 0.0001
3003.720, 0.0003, 0.0003, 0.0002
3003.795, 0.0001, 0.0002, -0.0001
3003.870, 0.0004, 0.0001, 0.0003
3003.945, 0.0000, 0.0002, 0.0002
3004.020, 0.0006, 0.0004, 0.0004
3004.095, 0.0005, 0.0003, 0.0002
3004.170, 0.0005, -0.0002, 0.0003
3004.245, 0.0003, 0.0002, 0.0003
3004.320, 0.0005, 0.0003, 0.0007
3004.395, 0.0006, -0.0000, 0.0001
3004.470, 0.0003, -0.0001, 0.0001
3004.545, 0.0003, 0.0002, 0.0000
3004.620, 0.0004, 0.0004, 0.0005
3004.695, 0.0002, 0.0001, 0.0006
3004.770, 0.0003, 0.0001, 0.0005
3004.845, 0.0006, 0.0004, 0.0004
3004.920, 0.0005, 0.0002, 0.0003
3004.995, 0.0004, 0.0004, 0.0002
3005.070, 0.0003, 0.0003, -0.0000
3005.145, 0.0003, 0.0003, 0.0002
3005.220, -0.0000, 0.0003, 0.0005
3005.295, 0.0002, 0.0002, 0.0001
3005.370, -0.0003, 0.0001, 0.0001
3005.445, 0.0003, 0.0003, 0.0001
3005.520, 0.0004, -0.0000, 0.0003
3005.595, 0.0004, 0.0002, 0.0003
3005.670, 0.0003, 0.0002, 0.0001
3005.745, 0.0005, 0.0001, 0.0000
3005.820, -0.0000, 0.0001, -0.0002
3005.895, 0.0001, 0.0001, 0.0000
3005.970, 0.0000, 0.0000, 0.0000
3006.045, 0.0002, -0.0001, 0.0002
3006.120, 0.0007, 0.0001, 0.0003
3006.195, 0.0004, 0.0002, 0.0004
3006.270, 0.0002, 0.0002, 0.0001
3006.345, 0.0003, 0.0002, 0.0002
3006.420, 0.0002, 0.0005, 0.0003
3006.495, 0.0003, 0.0003, 0.0005
3006.570, -0.0001, 0.0005, 0.0003
3006.645, 0.0000, 0.0005, 0.0000
3006.720, 0.0004, 0.0006, -0.0001
3006.795, 0.0005, 0.0005, 0.0001
3006.870, 0.0002, 0.0001, 0.0004
3006.945, 0.0005, 0.0004, 0.0003
3007.020, -0.0000, 0.0002, 0.0003
3007.095, 0.0001, 0.0000, 0.0003
3007.170, 0.0003, 0.0003, 0.0006
3007.245, 0.0002, 0.0004, 0.0003
3007.320, 0.0004, 0.0005, 0.0004
3007.395, 0.0002, 0.0003, 0.0001
3007.470, 0.0004, 0.0006, 0.0001
3007.545, 0.0004, 0.0003, 0.0001
3007.620, -0.0000, 0.0001, 0.0003
3007.695, 0.0001, 0.0005, 0.0001
3007.770, 0.0003, 0.0003, 0.0001
3007.845, 0.0001, 0.0004, -0.0000
3007.920, 0.0005, 0.0001, 0.0001
3007.995, 0.0001, 0.0002, 0.0003
3008.070, 0.0000, 0.0005, -0.0000
3008.145, 0.0004, 0.0002, -0.0001
3008.220, 0.0007, 0.0003, 0.0001
3008.295, 0.0000, 0.0000, 0.0003
3008.370, 0.0003, 0.0002, 0.0002
3008.445, -0.0001, 0.0008, 0.0001
3008.520, 0.0004, 0.0003, 0.0002
3008.595, 0.0004, 0.0005, 0.0005
3008.670, 0.0000, 0.0001, 0.0007
3008.745, 0.0006, 0.0006, 0.0002
3008.820, 0.0004, 0.0003, 0.0002
3008.895, 0.0002, 0.0001, 0.0001
3008.970, 0.0002, 0.0002, -0.0001
3009.045, 0.0003, 0.0002, 0.0002
3009.120, 0.0006, 0.0005, 0.0002
3009.195, 0.0002, 0.0002, 0.0004
3009.270, 0.0002, 0.0003, 0.0002
3009.345, 0.0001, 0.0002, 0.0006
3009.420, 0.0002, 0.0006, -0.0001
3009.495, 0.0003, -0.0001, 0.0003
3009.570, 0.0006, -0.0000, 0.0003
3009.645, 0.0002, 0.0002, 0.0002
3009.720, 0.0005, 0.0003, -0.0002
3009.795, 0.0001, -0.0000, 0.0003
3009.870, -0.0000, 0.0007, 0.0001
3009.945, 0.0003, 0.0001, 0.0002
3010.020, 0.0004, 0.0002, 0.0001
3010.095, 0.0003, 0.0002, 0.0003
3010.170, 0.0005, -0.0001, 0.0002
3010.245, 0.0001, -0.0001, 0.0003
3010.320, 0.0003, 0.0000, 0.0002
3010.395, 0.0001, 0.0002, 0.0003
3010.470, 0.0002, 0.0005, 0.0000
3010.545, 0.0004, 0.0005, 0.0002
3010.620, 0.0002, 0.0004, 0.0004
3010.695, 0.0004, -0.0000, -0.0000
3010.770, -0.0000, -0.0001, 0.0004
3010.845, 0.0004, 0.0002, 0.0003
3010.920, 0.0001, 0.0002, 0.0003
3010.995, 0.0005, 0.0004, 0.0004
3011.070, 0.0003, 0.0003, 0.0003
3011.145, 0.0003, 0.0003, 0.0005
3011.220, 0.0000, -0.0001, 0.0000
3011.295, 0.0001, 0.0001, 0.0003
3011.370, -0.0001, 0.0002, -0.0001
3011.445, 0.0002, 0.0002, 0.0005
3011.520, 0.0000, 0.0004, 0.0003
3011.595, 0.0002, 0.0003, 0.0005
3011.670, 0.0001, 0.0006, 0.0000
3011.745, 0.0004, 0.0002, 0.0004
3011.820, 0.0002, 0.0003, 0.0002
3011.895, 0.0001, -0.0001, 0.0001
3011.970, 0.0002, 0.0002, 0.0002
3012.045, -0.0000, 0.0005, -0.0000
3012.120, 0.0001, 0.0002, 0.0002
3012.195, 0.0003, 0.0000, 0.0005
3012.270, 0.0004, 0.0002, 0.0002
3012.345, 0.0004, 0.0003, 0.0003
3012.420, 0.0005, 0.0002, 0.0003
3012.495, 0.0005, 0.0001, 0.0001
3012.570, 0.0000, -0.0001, 0.0004
3012.645, 0.0000, 0.0005, 0.0004
3012.720, 0.0004, 0.0000, -0.0001
3012.795, 0.0003, 0.0002, -0.0001
3012.870, 0.0002, 0.0001, 0.0005
3012.945, 0.0001, 0.0004, 0.0000
3013.020, 0.0004, 0.0002, 0.0001
3013.095, 0.0003, 0.0003, 0.0007
3013.170, 0.0005, -0.0000, 0.0002
3013.245, 0.0004, 0.0003, 0.0004
3013.320, 0.0001, 0.0004, 0.0005
3013.395, 0.0006, 0.0004, 0.0003
3013.470, 0.0003, 0.0006, 0.0000
3013.545, 0.0005, 0.0004, 0.0008
3013.620, 0.0005, -0.0000, 0.0003
3013.695, 0.0002, 0.0006, 0.0003
3013.770, 0.0000, 0.0004, 0.0002
3013.845, -0.0001, 0.0003, 0.0002
3013.920, 0.0007, -0.0002, 0.0002
3013.995, 0.0002, 0.0001, 0.0009
3014.070, 0.0002, 0.0005, 0.0005
3014.145, 0.0001, 0.0006, 0.0002
3014.220, 0.0004, -0.0001, 0.0005
3014.295, 0.0000, 0.0003, 0.0007
3014.370, 0.0002, 0.0002, 0.0005
3014.445, 0.0000, 0.0004, -0.0002
3014.520, 0.0000, 0.0002, 0.0003
3014.595, -0.0001, 0.0005, 0.0005
3014.670, 0.0001, 0.0001, 0.0002
3014.745, -0.0002, 0.0005, 0.0003
3014.820, 0.0003, 0.0000, 0.0002
3014.895, 0.0001, 0.0005, 0.0004
3014.970, 0.0005, 0.0002, 0.0002
3015.045, 0.0001, -0.0002, 0.0002
3015.120, 0.0007, 0.0001, 0.0003
3015.195, 0.0004, 0.0006, 0.0002
3015.270, 0.0003, 0.0004, 0.0002
3015.345, 0.0005, 0.0004, -0.0001
3015.420, 0.0003, 0.0004, 0.0002
3015.495, 0.0005, 0.0003, 0.0002
3015.570, 0.0003, 0.0002, 0.0001
3015.645, 0.0005, 0.0003, 0.0003
3015.720, 0.0003, -0.0000, 0.0004
3015.795, 0.0004, 0.0003, 0.0003
3015.870, 0.0001, 0.0005, 0.0000
3015.945, -0.0000, -0.0004, 0.0003
3016.020, 0.0005, 0.0001, 0.0004
3016.095, 0.0003, 0.0003, 0.0003
3016.170, 0.0001, 0.0003, 0.0001
3016.245, 0.0005, 0.0003, 0.0002
3016.320, 0.0001, 0.0002, -0.0004
3016.395, 0.0002, 0.0008, 0.0002
3016.470, 0.0000, -0.0000, 0.0003
3016.545, 0.0002, 0.0001, 0.0005
3016.620, 0.0000, 0.0000, -0.0001
3016.695, 0.0001, 0.0005, 0.0005
3016.770, 0.0001, 0.0005, -0.0003
3016.845, 0.0006, 0.0004, 0.0005
3016.920, 0.0002, 0.0006, -0.0000
3016.995, 0.0003, 0.0006, 0.0005
3017.070, 0.0001, -0.0000, 0.0005
3017.145, 0.0002, 0.0005, -0.0001
3017.220, 0.0002, 0.0002, 0.0003
3017.295, 0.0003, 0.0002, 0.0001
3017.370, 0.0003, -0.0000, 0.0000
3017.445, 0.0008, -0.0001, 0.0006
3017.520, 0.0001, 0.0002, 0.0003
3017.595, 0.0003, 0.0002, -0.0003
3017.670, 0.0002, 0.0004, 0.0006
3017.745, 0.0003, 0.0007, 0.0000
3017.820, 0.0004, 0.0004, 0.0006
3017.895, 0.0002, 0.0002, 0.0001
3017.970, 0.0001, 0.0006, 0.0003
3018.045, 0.0001, -0.0001, 0.0004
3018.120, 0.0000, 0.0005, 0.0002
3018.195, -0.0001, 0.0004, 0.0004
3018.270, 0.0002, 0.0003, 0.0001
3018.345, 0.0002, 0.0003, 0.0004
3018.420, 0.0002, 0.0002, 0.0001
3018.495, 0.0002, 0.0004, 0.0004
3018.570, 0.0002, 0.0007, -0.0001
3018.645, -0.0003, 0.0001, -0.0000
3018.720, 0.0004, 0.0001, 0.0002
3018.795, -0.0002, 0.0004, 0.0006
3018.870, 0.0007, 0.0003, 0.0002
3018.945, 0.0002, 0.0006, 0.0005
3019.020, 0.0005, 0.0000, 0.0003
3019.095, 0.0001, 0.0002, 0.0005
3019.170, 0.0001, 0.0000, 0.0001
3019.245, -0.0000, 0.0004, 0.0003
3019.320, 0.0004, 0.0005, 0.0004
3019.395, 0.0003, 0.0002, 0.0005
3019.470, 0.0003, 0.0003, 0.0004
3019.545, 0.0002, 0.0003, 0.0004
3019.620, 0.0004, 0.0003, 0.0001
3019.695, 0.0003, 0.0003, 0.0004
3019.770, 0.0006, 0.0004, 0.0001
3019.845, -0.0000, 0.0003, 0.0003
3019.920, 0.0002, 0.0002, 0.0001
3019.995, -0.0001, 0.0001, 0.0001
3020.070, 0.0006, 0.0000, -0.0002
3020.145, 0.0003, 0.0000, 0.0003
3020.220, 0.0003, 0.0003, 0.0002
3020.295, 0.0002, 0.0003, 0.0005
3020.370, 0.0001, 0.0001, 0.0003
3020.445, 0.0005, 0.0003, 0.0003
3020.520, 0.0002, 0.0004, 0.0003
3020.595, 0.0002, 0.0001, 0.0005
3020.670, -0.0002, 0.0003, 0.0006
3020.745, 0.0002, 0.0006, 0.0003
3020.820, 0.0002, 0.0003, 0.0005
3020.895, 0.0001, 0.0004, 0.0002
3020.970, 0.0000, 0.0003, -0.0000
3021.045, 0.0005, 0.0003, 0.0004
3021.120, 0.0006, 0.0004, 0.0002
3021.195, 0.0003, 0.0004, 0.0003
3021.270, 0.0003, 0.0001, 0.0001
3021.345, 0.0003, 0.0002, 0.0002
3021.420, 0.0004, 0.0005, 0.0003
3021.495, 0.0002, 0.0001, 0.0005
3021.570, 0.0004, 0.0005, -0.0002
3021.645, 0.0006, 0.0000, 0.0000
3021.720, -0.0001, 0.0004, 0.0002
3021.795, 0.0004, 0.0004, 0.0002
3021.870, 0.0001, -0.0001, 0.0003
3021.945, 0.0004, -0.0001, -0.0001
3022.020, 0.0003, 0.0003, 0.0005
3022.095, -0.0001, -0.0000, 0.0005
3022.170, 0.0001, -0.0001, 0.0002
3022.245, -0.0000, 0.0006, 0.0006
3022.320, 0.0007, 0.0004, 0.0002
3022.395, 0.0003, 0.0005, 0.0003
3022.470, 0.0003, 0.0001, 0.0000
3022.545, 0.0002, 0.0002, -0.0004
3022.620, 0.0004, 0.0003, 0.0003
3022.695, 0.0003, 0.0004, 0.0001
3022.770, -0.0000, 0.0005, 0.0003
3022.845, 0.0005, 0.0005, 0.0001
3022.920, -0.0001, 0.0003, 0.0004
3022.995, 0.0003, 0.0004, 0.0002
3023.070, 0.0001, 0.0003, 0.0001
3023.145, 0.0003, 0.0001, 0.0003
3023.220, 0.0003, -0.0002, 0.0001
3023.295, 0.0003, 0.0003, 0.0005
3023.370, 0.0002, 0.0001, 0.0003
3023.445, -0.0003, 0.0002, 0.0001
3023.520, 0.0005, 0.0001, -0.0000
3023.595, 0.0001, 0.0005, 0.0004
3023.670, 0.0003, 0.0006, 0.0002
3023.745, -0.0001, 0.0002, 0.0005
3023.820, 0.0001, 0.0003, 0.0001
3023.895, 0.0003, 0.0003, 0.0003
3023.970, 0.0006, 0.0004, 0.0005
3024.045, -0.0001, 0.0001, 0.0001
3024.120, -0.0001, -0.0002, 0.0002
3024.195, 0.0003, 0.0003, -0.0000
3024.270, 0.0005, 0.0004, 0.0003
3024.345, 0.0000, 0.0002, -0.0000
3024.420, -0.0001, 0.0000, 0.0000
3024.495, 0.0001, 0.0000, 0.0001
3024.570, 0.0004, -0.0000, 0.0002
3024.645, 0.0002, 0.0001, 0.0003
3024.720, 0.0001, 0.0001, 0.0004
3024.795, -0.0001, -0.0000, -0.0000
3024.870, 0.0001, 0.0003, 0.0003
3024.945, 0.0001, 0.0002, 0.0002
3025.020, 0.0002, 0.0007, 0.0005
3025.095, 0.0004, 0.0001, 0.0001
3025.170, 0.0004, 0.0000, 0.0003
3025.245, 0.0001, 0.0003, 0.0001
3025.320, 0.0005, 0.0002, 0.0003
3025.395, -0.0000, -0.0001, 0.0002
3025.470, 0.0001, 0.0002, 0.0002
3025.545, 0.0003, 0.0003, 0.0005
3025.620, 0.0004, 0.0003, 0.0006
